[Sat Jun 05 23:27:53.632847 2021] [php7:error] [pid 6160:tid 1916] [client 127.0.0.1:50012] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\nesbot\\carbon\\src\\Carbon\\Traits\\ObjectInitialisation.php on line 13
[Sun Jun 06 09:50:55.741169 2021] [php7:error] [pid 6160:tid 1924] [client 127.0.0.1:58897] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Events\\LocaleUpdated.php on line 5
[Sun Jun 06 17:29:25.831925 2021] [php7:error] [pid 6160:tid 1880] [client 127.0.0.1:64711] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\symfony\\translation\\MessageCatalogue.php on line 20, referer: http://moneymanage.vn:81/home
[Sun Jun 06 20:52:44.256190 2021] [php7:error] [pid 7184:tid 1912] [client 127.0.0.1:65168] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\app\\Providers\\EventServiceProvider.php on line 10, referer: http://moneymanage.vn:81/
[Mon Jun 07 08:50:26.107420 2021] [php7:error] [pid 8132:tid 1932] [client 127.0.0.1:49638] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Contracts\\Session\\Session.php on line 5
[Mon Jun 07 08:50:26.107420 2021] [php7:error] [pid 8132:tid 1936] [client 127.0.0.1:49637] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Contracts\\Session\\Session.php on line 5
[Mon Jun 07 17:40:06.908725 2021] [php7:error] [pid 8132:tid 1936] [client 127.0.0.1:55314] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\nesbot\\carbon\\src\\Carbon\\Carbon.php on line 510, referer: http://moneymanage.vn:81/category
[Wed Jun 09 12:32:43.791258 2021] [php7:error] [pid 2656:tid 1912] [client 127.0.0.1:57412] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\psr\\log\\Psr\\Log\\LoggerInterface.php on line 20
[Wed Jun 09 16:35:58.516001 2021] [php7:error] [pid 2656:tid 1924] [client 127.0.0.1:58915] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\AliasLoader.php on line 5, referer: http://moneymanage.vn:81/activity
[Wed Jun 09 16:41:16.269931 2021] [php7:error] [pid 2656:tid 1924] [client 127.0.0.1:59014] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Database\\Connectors\\MySqlConnector.php on line 7, referer: http://moneymanage.vn:81/activity
[Thu Jun 10 13:01:18.101243 2021] [php7:error] [pid 3124:tid 1952] [client 127.0.0.1:52491] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Console\\Application.php on line 26
[Thu Jun 10 15:56:10.515415 2021] [php7:error] [pid 3124:tid 1924] [client 127.0.0.1:49956] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\Support\\Facades\\Event.php on line 28, referer: http://moneymanage.vn:81/activity
[Thu Jun 10 16:07:50.634015 2021] [php7:error] [pid 3124:tid 1952] [client 127.0.0.1:50040] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\nesbot\\carbon\\src\\Carbon\\Carbon.php on line 510, referer: http://moneymanage.vn:81/activity
[Thu Jun 10 16:52:27.524530 2021] [php7:error] [pid 3124:tid 1964] [client 127.0.0.1:50292] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\laravel\\framework\\src\\Illuminate\\View\\Compilers\\ComponentTagCompiler.php on line 171, referer: http://moneymanage.vn:81/add-activity
[Fri Jun 11 09:27:16.736644 2021] [php7:error] [pid 7892:tid 1936] [client 127.0.0.1:55986] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\\xampp\\htdocs\\moneymanage\\vendor\\symfony\\http-foundation\\Cookie.php on line 19
